nct_id,ticker,phase,outcome_category,phase_clean,category_clean,car,car_long_window,short_raw,short_benchmark,estimation_window_return,unstable_estimation,needs_reverification,sign_disagreement,sign_disagreement_old,trustworthy,audit_status
NCT04629703,RIGL,PHASE3,failure_efficacy_safety,Phase 3,Failure,0.045998561351242,-0.4363363954681847,0.0281690547589725,-0.0034607786173038,-0.5782747561975731,True,False,False,False,False,
NCT03759392,CYTK,PHASE3,success,Phase 3,Success,-0.1742511571518254,-0.2824481985765265,-0.1870184868967872,-0.0670797929404498,0.8056426257314742,True,True,False,False,False,unconfirmed_recovery_candidate
NCT03697109,CORT,PHASE3,success,Phase 3,Success,0.041110855149079,0.1856570339611946,0.0754386525551862,0.0777339954107432,-0.2513089451181746,False,False,False,False,True,
NCT04725240,RYTM,PHASE2,success,Phase 2,Success,-0.029156964261429,-0.5148176382614692,0.0714537380340893,0.0136953525419447,5.567204332603914,True,True,True,False,False,
NCT04102579,NBIX,PHASE3,success,Phase 3,Success,-0.1101009399176349,-0.0015537510363386,-0.0772269359060801,0.0976107290538002,0.0237640336622542,False,False,False,False,True,
NCT03905330,MIRM,PHASE3,success,Phase 3,Success,0.1354349524017598,-0.0814511295606329,0.1878538116933528,0.0623785678632455,0.1364663611518661,False,False,False,False,True,
NCT03304054,CPRX,PHASE3,success,Phase 3,Success,0.0302389109675,-0.2697087442173391,0.0314770244161399,-8.760946792885083e-05,0.2466843058471493,False,True,False,False,False,
NCT03777436,AMGN,PHASE3,success,Phase 3,Success,-0.0674819294551609,-0.0071095155550677,-0.0685441377859092,-0.0752753606017967,0.0911633755958816,False,False,False,True,True,
NCT03968159,ACAD,PHASE3,success,Phase 3,Success,-0.2276922390568184,-0.1122529371074757,-0.2214765583640021,0.0004264303318051,0.0276280217787336,False,False,False,True,True,
NCT04707469,NVO,PHASE3,success,Phase 3,Success,0.0527465438412734,0.068064568802625,0.0759741098208532,0.0436210233760585,0.3345767074198635,False,True,False,False,False,
NCT02725593,AZN,PHASE3,success,Phase 3,Success,-0.0345311404223456,0.1036108863414178,0.0275742321652328,0.0962237226823803,-0.0936728402914246,False,True,True,False,False,confirmed_wrong_match
NCT03832114,NVS,PHASE2,success,Phase 2,Success,-0.0261665618434475,0.0550271777423815,-0.0249348483203831,0.0261631639589092,-0.0222802354271225,False,True,False,False,False,confirmed_wrong_match
NCT02680574,AKBA,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.7073309666005287,-0.9189193476474408,-0.750240159198569,-0.0710131883179036,0.6966759495812715,True,True,False,False,False,
NCT03775200,CMPS,PHASE2,success,Phase 2,Success,0.1123411199013956,0.2429213553889235,0.0931889228274915,-0.0256491296108694,-0.2226379096528705,False,False,False,False,True,
NCT02980731,ABBV,PHASE3,success,Phase 3,Success,0.0123972369287014,0.0599665058701487,0.019794205873499,0.0249492353645861,0.1768632417481905,False,True,False,False,False,
NCT04124926,PHAT,PHASE3,success,Phase 3,Success,-0.0367349384735496,0.0052823248883598,-0.0388905360081222,0.0014565743753578,-0.2191589073672947,False,False,False,True,True,
NCT02929329,CYTK,PHASE3,success,Phase 3,Success,-0.095735739018295,-0.0404419029785186,-0.0752173714015793,0.0042621872390242,0.4289422891500949,False,False,False,True,True,
NCT03322540,INCY,PHASE2,success,Phase 2,Success,0.0469475503492936,0.1951338023275434,-0.0303922941407075,-0.0895988404128405,-0.121624588197607,False,True,True,False,False,confirmed_wrong_match
NCT02201108,SNY,PHASE3,success,Phase 3,Success,0.0377051392737294,0.1251121007810552,0.0379612213607742,-0.0244678372740581,0.0494306179988799,False,True,False,False,False,
NCT03345849,ABBV,PHASE3,success,Phase 3,Success,-0.0758164205857026,-0.0490786350579273,-0.0694634688774441,-0.003935730349727,0.0619451170298628,False,True,False,False,False,
NCT03682705,ABBV,PHASE2,success,Phase 2,Success,-0.0363921259878695,-0.0931966507666645,-0.0250232899746043,0.0122103583084542,0.0962999498467169,False,False,False,False,True,
NCT02755597,ABBV,PHASE3,success,Phase 3,Success,0.0637931442581385,-0.1122963219301253,0.0600605845120125,-0.046153789529537,0.0940839397932828,False,True,False,False,False,
NCT04795531,NVO,PHASE3,success,Phase 3,Success,-0.028235499777792,-0.2064167959367213,-0.0202020042856685,-0.0039363903049698,-0.0250357264522095,False,False,False,False,True,
NCT04016779,SUPN,PHASE3,success,Phase 3,Success,-0.0480566714520674,0.0529067650332877,-0.0564481591684457,0.0072451648303633,0.1190092099159945,False,False,False,False,True,
NCT01945775,PFE,PHASE3,success,Phase 3,Success,0.0326554068715087,0.1183437688637439,0.0364139858049277,-0.0245039143376214,0.0822861928759361,False,True,False,False,False,
NCT05174065,AMGN,PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.0227964814971547,0.0099069975521518,-0.0323070369154337,-0.037194687250263,0.0859483944402053,False,True,False,False,False,unconfirmed_recovery_candidate
NCT03559699,AGIO,PHASE3,success,Phase 3,Success,0.2580605492861981,0.0567839781538526,0.2873935628802926,0.0470557614401627,-0.1205850956544338,False,True,False,False,False,
NCT01506609,ABBV,PHASE2,success,Phase 2,Success,0.0430192980084847,-0.0086455665907039,0.0583414785955929,0.0282821472027603,0.1116575293670907,False,True,False,False,False,
NCT03689374,NVO,PHASE3,success,Phase 3,Success,-0.0409373798256907,0.0238041571375726,-0.0487942883821306,-0.0373170791172895,0.0679032058250033,False,True,False,False,False,
NCT04977336,VRTX,PHASE2,success,Phase 2,Success,-0.0998106843691748,-0.1092568098210297,-0.1028400826896382,-0.1616305406502682,0.3886102085580953,False,True,False,False,False,
NCT04788511,NVO,PHASE3,success,Phase 3,Success,-0.0155852244373054,0.0006672857823479,0.006092435420806,0.0357010680711029,0.4823873783400627,False,False,True,False,False,
NCT03502616,PFE,PHASE3,success,Phase 3,Success,-0.0509113459743414,-0.163906233486661,-0.027049697088143,0.0733975769274091,0.2465489395802014,False,False,False,False,True,
NCT04038437,JAZZ,PHASE1,success,Phase 1,Success,-0.0383169022579166,0.0042306775373179,-0.0347728658852579,0.0136953525419447,0.0101536794587844,False,True,False,False,False,
NCT04627532,PFE,PHASE1,success,Phase 1,Success,0.0326554068715087,0.1183437688637439,0.0364139858049277,-0.0245039143376214,0.0822861928759361,False,True,False,False,False,
NCT04598269,ACRS,PHASE2,success,Phase 2,Success,-0.29335630428782,-1.2354520077156783,-0.1027397278169907,0.073603455981835,5.955729083720748,True,False,False,False,False,
NCT04017832,NVO,PHASE3,success,Phase 3,Success,0.0064739676934555,-0.0189119145825671,0.0298737573534797,0.0521593208196273,0.5123354285030324,True,True,False,False,False,
NCT03486457,PFE,PHASE3,success,Phase 3,Success,0.0326554068715087,0.1183437688637439,0.0364139858049277,-0.0245039143376214,0.0822861928759361,False,True,False,False,False,
NCT05047601,PFE,PHASE2/PHASE3,failure_efficacy_safety,Phase 3,Failure,-0.0527992174962407,-0.1850018026356561,-0.0407839760620901,-0.0307129516297842,0.2873272521975767,False,True,False,False,False,
