ticker,drug_name,phase,outcome,category,success,date,tier,alpha,beta,car_short,ret_long_entry_exit,ar_long_entry_exit,ret_short_entry_exit,ar_short_entry_exit
LLY,Lasmiditan,Phase 3,met,Phase 3 met,True,2017-08-04,large,0.0010118488087644676,0.27186622667593796,-0.011968032324505717,0.025247208728236936,-0.0781869254903802,-0.03637057431578927,-0.03786265442562986
LLY,Mirikizumab,Phase 2,met,Phase 2 met,True,2018-06-05,large,0.00032892104660259866,0.37825212839342387,0.0005719199957030519,0.3510658211419473,0.2447148679982627,0.041671778225752965,0.022225487395061583
LLY,Ramucirumab,Phase 3,met,Phase 3 met,True,2019-03-12,large,0.0017828133249096077,0.20174889057367482,-0.04357631416619656,-0.051412169186200396,-0.1819431269909696,0.021793333684604344,-0.01114690159213394
LLY,Ramucirumab - RAINFALL,Phase 3,met,Phase 3 met,True,2017-12-08,large,0.0006477619615657645,0.16173754733106976,0.0015129520442560551,-0.044844148834163544,-0.11671110173349653,0.03417797890562757,0.02295843528792818
LLY,Ramucirumab REACH-2,Phase 3,met,Phase 3 met,True,2018-04-04,large,0.00068325483746306,0.250676805608356,0.0039054173661454694,0.12106232987314458,0.04658300328245324,2.220446049250313e-16,-0.003729572123976732
LLY,Taltz (Ixekizumab),Phase 3,met,Phase 3 met,True,2019-04-22,large,0.0019035177074110071,0.1906511894923739,-0.019021893759501585,-0.1592877911470445,-0.27544287654286637,-0.04784662376233362,-0.06618506967224702
LLY,Taltz (Ixekizumab) and adalimumab,Phase 3,met,Phase 3 met,True,2018-12-17,large,0.002611366450063534,0.17003711630312954,-0.03930719205351685,0.17343288287207903,-0.08963985145379161,-0.08760679089093648,-0.09454973681022283
LLY,Tanezumab,Phase 3,met,Phase 3 met,True,2018-07-18,large,-6.988827547916707e-05,0.4082418127863071,-0.01181034330640962,0.29652269324161495,0.34305874687696547,0.1231074255818072,0.1168175662646409
LLY,Tanezumab,Phase 3,met,Phase 3 met,True,2019-02-19,large,0.002591077868929743,0.1695869338556566,0.01868803911942929,-0.013800497491568864,-0.20557365102112457,0.03685754447069689,-0.014887183335947185
LLY,Tanezumab,Phase 3,miss,Phase 3 miss,False,2019-04-18,large,0.0018755752688402935,0.1887855262192383,-0.057628435030341985,-0.162070489517942,-0.2781680849978081,-0.05651315858812611,-0.07404066763524475
LLY,Tradjenta (linagliptin) - CARMELINA CV outcomes,Phase 3,met,Phase 3 met,True,2018-07-19,large,-9.350304714852349e-05,0.4058998184781075,-0.005329478607533189,0.3155694039582273,0.37411979749936775,0.10021941387145472,0.09819011042907211
LLY,Tradjenta (linagliptin) - CAROLINA CV outcomes,Phase 3,met,Phase 3 met,True,2019-02-14,large,0.0026406655954700426,0.1733021205717326,0.02157917946790655,0.00795181524636046,-0.19628645589525162,0.06612006912554991,0.01486684205094746
LLY,Tyvyt and ALIMTA,Phase 3,met,Phase 3 met,True,2020-01-13,large,0.0008410828898917908,0.3462964473342331,0.04785400399584394,0.2576024517734934,0.20469584969382737,0.07450043913405069,0.07074998428608481
LLY,Ultra rapid insulin,Phase 3,met,Phase 3 met,True,2018-10-02,large,0.0022469247225417564,0.27584269016774815,0.05952248771905011,0.05887744680667284,-0.04302184197500036,0.0921384882509404,0.07142371399949621
LQDA,LIQ861 - INSPIRE,Phase 3,met,Phase 3 met,True,2019-03-11,small,0.0041555319296726735,0.30877994808246134,-0.06992715647967962,-0.43737955038022047,-0.6057041059593247,-0.08549221159355713,-0.1616258243517359
LXRX,Sotagliflozin,Phase 2,miss,Phase 2 miss,False,2016-12-05,small,-0.0005185856522717615,0.8626644828934809,0.049941774269212535,0.20794217194533893,-0.004551539778125613,-0.06792678980950861,0.012761377711326904
LXRX,Sotagliflozin,Phase 3,met,Phase 3 met,True,2016-12-21,small,-0.0008245006784780664,0.9105204751024297,-0.08663618709608045,-0.1378263265772428,-0.10139476272410908,-0.1383177208026506,-0.06168909378856435
LXRX,Sotagliflozin,Phase 3,met,Phase 3 met,True,2017-06-09,small,-0.0004180042692523876,1.14562092670196,0.10325995102349195,-0.06594805867715325,-0.22985391483411366,0.15564739377631676,0.13455506230437875
LXRX,Sotagliflozin,Phase 3,miss,Phase 3 miss,False,2019-07-26,small,0.0004055473434055902,1.0676886255598175,-0.6971258346055901,-0.35852371552515516,-0.3430651108017644,-0.8064515992580413,-0.8015519487786565
LXRX,Sotagliflozin,Phase 3,met,Phase 3 met,True,2019-12-20,small,0.00482777497564475,1.3454804851801274,-0.12363700407624512,-0.4987531481952726,-0.6066315170778943,-0.021276631721529715,-0.11312775391574559
MCRB,SER-109 - ECOSPOR III,Phase 2,miss,Phase 2 miss,False,2016-07-29,small,0.002490154540494263,1.0638873484273046,-0.753519793144855,-0.6119302767414627,-0.7133016516355934,-0.7003745261274383,-0.7604784034976869
